Group hierarchy,Region,Description,Service,Upfront,Monthly,First 12 months total,Currency,Configuration summary
My Estimate,US East (N. Virginia),Web Server 2 in each AZ for more distribute load ,Amazon EC2,0,1505.02,18060.24,USD,"Operating system (Linux), Quantity (4), Pricing strategy (On-Demand Instances 1 Year No Upfront), Storage for each EC2 instance (General Purpose SSD (gp2)), Storage amount (1 TB), Instance type (r6g.2xlarge)"
My Estimate,US East (N. Virginia),Application Server 2 in each AZ for more distribute load ,Amazon EC2,0,1505.02,18060.24,USD,"Operating system (Linux), Quantity (4), Pricing strategy (On-Demand Instances 1 Year No Upfront), Storage for each EC2 instance (General Purpose SSD (gp2)), Storage amount (1 TB), Instance type (r6g.2xlarge)"
My Estimate,US East (N. Virginia),Aurora - MySQL DB 3 Reader and Writer node,Amazon Aurora MySQL-Compatible,0,5436.45,65237.4,USD,"Change records per statement (0.38), Nodes (3), Instance Type (db.r3.4xlarge), Instance Family (Memory optimized), Pricing Model (OnDemand), Storage amount (1024 GB), Additional backup storage (2048 GB)"
My Estimate,US East (N. Virginia),Load Balancer,Application Load Balancer,0,6164.85,73978.2,USD,Number of Application Load Balancers (2)
My Estimate,US East (N. Virginia),NAT Gateway EIP,Amazon Elastic IP,0,0.25,3,USD,"Number of EC2 instances (2), Number of EIPs per instance (1), Number of EIP remaps (2)"
My Estimate,US East (N. Virginia),s3,S3 Standard,0,95.42,1145.04,USD,S3 Standard storage (4 TB per month)
My Estimate,US East (N. Virginia),s3,Data Transfer,0,4.41,52.92,USD,"DT Inbound: Internet (50 GB per month), DT Outbound: Internet (50 GB per month)"
My Estimate,US East (N. Virginia),Data Transfer,Amazon Virtual Private Cloud (VPC),0,20.48,245.76,USD,"DT Inbound: Internet (1 TB per month), DT Outbound: Amazon CloudFront (500 GB per month), DT Intra-Region: (1 TB per month), Data transfer cost (20.48)"
My Estimate,US East (N. Virginia),Monitoring Infra,Amazon CloudWatch,0,156.30115,1875.61,USD,"Number of Metrics (includes detailed and custom metrics) (5), GetMetricData: Number of metrics requested (5), GetMetricWidgetImage: Number of metrics requested (5), Number of other API requests (0), Standard Logs: Data Ingested (100 GB), Vended Logs: Data Ingested (100 GB), Logs Delivered to S3: Data Ingested (100 GB), Number of Dashboards (5), Number of Standard Resolution Alarm Metrics (5), Number of High Resolution Alarm Metrics (20), Number of composite alarms (10), Number of requests per function (2 per hour), Number of Lambda functions (1)"
My Estimate,US East (Ohio),Mysql Read Replication Cross Region,Amazon Aurora MySQL-Compatible,0,5619.76,67437.12,USD,"Change records per statement (0.38), Nodes (3), Instance Type (db.r3.4xlarge), Instance Family (Memory optimized), Pricing Model (OnDemand), Storage amount (3072 GB), Additional backup storage (1025 GB)"
,,,,,,,,
,,,,,,,,
Acknowledgement,,,,,,,,
"* AWS Pricing Calculator provides only an estimate of your AWS fees and doesn't include any taxes that might apply. Your actual fees depend on a variety of factors, including your actual usage of AWS services.",,,,,,,,
